,date,In DATE: The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
0,1901,14.1
1,1904,16.2
2,1908,15.8
3,1912,18.1
4,1916,20.6
5,1920,17.5
6,1924,16.5
7,1928,15.4
8,1932,18.3
9,1936,19.2
10,1940,20.5
11,1944,20.8
12,1948,24.3
13,1952,22.2
14,1956,23.5
15,1960,22.5
16,1964,22.9
17,1968,24.5
18,1972,25.3
19,1976,25.9
20,1980,28.6
21,1984,27.9
22,1988,31.2
23,1992,31.8
24,1996,34.3
25,2000,33.5
26,2004,35.1
27,2008,36.1
28,2012,36.5
29,2016,36.6
