,date,In DATE: The planner spoke with the woman who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,26.4
1,1904,23.9
2,1908,25.8
3,1912,30.0
4,1916,30.7
5,1920,30.1
6,1924,29.1
7,1928,28.1
8,1932,33.6
9,1936,30.7
10,1940,33.0
11,1944,34.5
12,1948,32.5
13,1952,37.0
14,1956,35.2
15,1960,35.4
16,1964,38.2
17,1968,43.5
18,1972,42.5
19,1976,41.7
20,1980,50.7
21,1984,48.5
22,1988,50.0
23,1992,47.1
24,1996,55.6
25,2000,53.0
26,2004,69.7
27,2008,64.4
28,2012,57.6
29,2016,58.4
